target,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215
0,1,1,0,0,0,6,0,0,1,0,1,0,0,0,0,1,0,1,0,12,12,0,0,24,0,1,0,2,0,22,5,9,32,1,0,6,1,1,0,12,8,8,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,17,2,34,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,2,0,3,0,1,0,10,1,31,0,0,1,0,1,0,0,0,0,2,0,0,18,0,1,0,3,0,12,0,1,3,6,0,1,1,1,0,0,0,0,0,0,1,0,0,24,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,7,0,0,3,0,0,0,1,0,0,11,3,42,0,0,0,6,0,2,17,15,6,12,0,1,0,2,0,39,0,2,2,35,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
1,4,0,0,10,0,9,0,0,1,1,0,4,3,0,10,12,0,13,12,1,8,8,0,13,1,0,0,2,0,1,27,2,10,9,2,11,1,0,2,2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,3,0,0,4,4,0,3,1,0,1,2,1,2,1,1,2,3,1,12,3,1,3,3,0,10,1,0,0,0,1,0,25,1,6,2,4,7,4,0,3,3,1,16,3,0,0,0,1,0,3,2,2,0,0,11,5,1,2,0,0,5,0,0,0,1,0,1,25,0,3,1,1,4,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,2,0,1,0,0,2,14,6,29,20,3,29,2,0,2,1,0,0,3,4,5,4,1,7,6,1,2,2,0,3,2,1,0,2,0,2,21,1,3,2,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,4,17,0,0,1,1,3,18,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,21,0,0,1,7,39,72,0,16,5,13,19,49,3,7,0,0,0,0,0,0,1,1,0,23,0,0,0,0,7,0,0,0,4,2,14,2,1,1,3,8,66,15,0,5,1,4,42,0,0,4,0,1,2,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,3,9,0,0,0,0,4,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,2,5,0,1,0,0,0,1,0,0,0,0,0,0,6,5,2,12,5,10,2,0,2,8,3,7,1,5,6,0,0,4,2,0,0,13,5,0,1,1,0,0,1,0,3,1,1,7,6,0,0,0,2,1,1,1,0,0,0,2,2,0,0,1,3,1,0,1,3,1,0,10,10,2,1,0,1,2,1,1,0,0,1,7,3,1,10,1,1,6,9,4,8,1,1,13,9,1,1,4,0,0,0,2,1,0,0,7,2,6,5,1,9,1,0,2,4,2,5,4,3,2,0,7,10,2,0,5,0,2,0,5,3,6,1,4,27,1,0,6,0,1,0,5,2,3,0,0,2,0,0,2,0,1,1,1,0,2,0,4,4,4,1,19,0,1,2,4,1,10,1,7,12,0,0,4,2,0,0,4,1,0,13,0,6,2,2,0,19,2,4,12,21,1,0,1,1,0,0,0,1,0,0,0,0,0,3,2,11,0,1,2
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,24,0,5,3,0,6,1,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,2,0,0,0,0,4,58,0,12,12,4,32,48,1,9,0,0,0,0,0,0,0,0,7,36,1,7,1,1,30,2,0,4,1,0,3,0,0,0,7,1,62,14,0,21,12,0,36,2,0,2,1,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,5,9,0,9,10,0,29,0,0,1,0,0,1,0,0,0,1,0,8,0,0,2
1,1,0,2,1,0,20,0,0,0,0,0,1,1,0,2,2,0,2,4,23,7,3,1,29,0,1,2,0,0,14,24,5,25,0,3,5,3,0,1,18,0,10,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,2,0,1,19,1,17,1,0,0,0,0,0,0,1,2,0,0,6,2,4,0,1,0,2,1,1,1,3,0,5,2,2,9,0,1,2,3,0,0,1,1,3,24,0,5,0,3,0,5,0,3,0,1,1,2,2,0,0,0,0,0,0,1,1,0,0,26,0,4,1,4,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,1,1,2,0,3,3,0,0,5,1,0,0,1,0,0,14,0,10,0,1,0,15,1,3,27,15,11,6,0,0,0,1,0,33,0,2,3,9,3,0,0,0,0,1,0,0,1,0,3,2,4,6,0,1,0,1,1
1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,4,19,3,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,8,0,1,0,0,0,0,0,1,1,0,4,62,1,2,0,2,2,60,0,25,0,0,0,4,0,1,1,0,1,4,0,7,0,0,23,0,0,1,1,0,3,1,0,0,3,0,38,4,1,1,17,2,36,56,5,15,0,0,5,1,0,0,1,1,16,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,0,0,0,0,0,3,0,0,1,1,1,18,1,0,6,7,1,9,4,1,0,0,0,1,0,0,0,5,3,8,4,0,4
1,0,0,0,4,2,1,0,0,1,0,0,1,0,0,0,1,1,0,0,2,2,12,1,1,2,0,0,11,5,0,0,1,2,1,1,0,0,0,0,2,3,2,2,7,11,2,1,3,10,8,13,1,11,3,1,0,0,3,0,1,1,0,0,3,2,0,1,1,2,1,1,5,4,1,0,7,6,1,3,4,6,0,3,3,4,5,7,8,13,5,2,3,1,3,2,1,3,2,2,16,6,4,5,2,6,1,2,1,0,1,2,1,1,0,2,9,15,1,2,2,2,4,7,0,2,3,1,19,9,8,2,10,0,2,0,2,2,2,0,11,8,1,1,3,0,0,0,3,2,1,0,2,1,1,0,2,0,1,0,1,1,2,1,6,5,21,2,10,0,0,2,12,6,2,0,0,4,1,0,3,3,0,0,1,4,0,0,4,12,1,0,0,3,1,15,1,5,4,0,1,1,1,1,1,0,2,1,1,1,0,2,2,7,0,0,0
1,0,0,0,16,0,18,0,0,0,0,0,1,0,0,1,19,0,7,0,0,9,0,0,41,0,0,0,1,0,1,7,1,17,3,1,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,3,24,0,29,0,0,0,0,0,0,5,0,1,8,0,10,1,2,6,2,0,24,0,0,0,0,0,0,3,0,7,2,0,9,0,0,2,0,0,1,1,0,1,0,0,0,16,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33,0,27,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,1,21,9,2,6,1,0,1,0,0,0,43,0,16,4,0,3,2,0,6,0,0,1,0,0,1,0,0,0,21,1,14,2,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,17,3,7,1,0,2,5,0,1,0,0,0,0,0,0,1,0,3,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,0,0,0,2,0,0,1,0,1,33,1,9,13,0,12,46,5,6,0,0,0,2,1,1,0,0,3,27,1,3,2,0,23,3,0,8,0,0,0,0,0,0,5,1,28,21,0,14,10,0,34,11,2,16,1,0,7,0,0,1,3,0,15,7,0,9,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4,0,0,3,0,0,1,0,0,0,4,0,15,7,0,2,11,0,20,11,1,10,0,0,1,0,1,0,2,0,7,4,0,13
0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,3,5,1,4,6,7,1,1,0,19,11,10,0,2,2,0,0,1,1,0,0,11,21,0,2,1,2,1,3,1,4,2,2,7,13,1,3,0,0,0,3,0,1,0,0,3,4,0,2,1,5,1,1,0,0,1,0,7,15,0,0,2,0,2,1,3,0,1,1,3,1,1,2,0,1,5,6,0,2,1,0,8,18,1,0,1,2,3,0,0,0,1,2,3,2,3,12,2,12,1,1,0,2,2,1,0,4,1,2,4,3,0,0,5,0,5,2,5,3,5,0,14,11,0,0,1,0,0,0,2,1,2,1,4,9,0,0,4,0,2,0,0,0,0,1,19,4,4,3,14,1,11,0,10,7,15,2,12,16,0,0,1,0,0,0,2,3,0,17,1,6,2,3,1,17,0,2,4,12,3,0,0,1,1,2,0,0,0,0,0,1,0,1,0,2,0,0,0
0,1,0,0,8,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,16,3,8,1,0,1,22,5,4,0,1,1,1,2,2,4,0,0,1,5,0,1,1,5,1,0,0,13,0,6,2,5,0,0,1,1,0,0,2,0,0,0,0,1,1,1,3,2,0,0,1,4,0,0,20,23,3,0,1,0,0,1,1,7,2,2,0,5,1,0,0,0,4,0,0,1,0,0,10,6,4,1,1,3,0,0,3,0,1,0,0,0,2,3,3,7,1,1,5,0,1,1,0,0,3,1,7,3,10,1,24,0,0,0,4,0,0,3,11,20,5,1,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,15,0,23,0,0,0,9,0,3,0,2,4,5,0,4,3,0,2,1,2,0,6,2,14,2,0,0,30,0,8,1,11,2,1,3,0,1,0,6,0,0,0,1,0,3,3,6,22,0,1,5
1,1,0,0,3,1,4,2,5,1,0,2,0,0,1,0,0,0,1,2,5,3,5,4,4,0,0,0,7,6,5,0,5,0,1,0,3,2,0,1,8,11,2,9,1,11,0,12,1,10,2,4,8,13,2,2,0,0,0,5,0,2,0,4,11,8,0,1,0,1,0,2,0,3,1,0,8,4,2,4,3,7,1,2,1,3,1,2,2,7,0,2,1,3,2,2,1,0,0,1,20,4,2,0,3,0,2,0,1,0,8,0,1,1,0,4,11,10,2,4,2,0,9,6,1,0,2,3,7,6,1,3,1,0,7,2,3,5,1,2,8,9,2,0,1,0,1,0,1,0,1,0,12,2,2,0,0,1,3,2,1,1,1,1,18,6,12,2,16,0,7,2,13,3,2,1,6,2,0,1,0,3,0,1,2,1,0,5,2,8,2,5,0,4,2,1,0,6,0,0,2,0,1,2,0,1,2,0,1,0,0,3,0,1,0,1,0
0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,1,3,0,2,4,20,5,3,0,1,1,5,34,26,8,0,1,2,2,7,0,0,1,0,4,3,1,0,0,1,0,1,1,0,0,0,1,2,0,0,3,3,5,3,2,1,3,0,10,3,3,0,3,0,27,20,0,2,0,0,16,14,0,0,1,0,7,6,0,0,2,0,0,0,0,1,10,31,0,0,0,1,5,8,3,1,2,1,19,10,5,8,2,1,16,11,7,4,2,0,3,1,0,0,0,1,1,0,0,2,0,1,14,17,1,2,0,0,6,6,1,0,1,1,17,8,9,1,1,0,15,3,7,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,0,1,1,1,2,0,0,1,0,1,4,1,0,2,0,1,5,0,0,0,0,0,1,0
0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,7,0,1,0,19,0,3,0,10,0,39,0,6,4,0,0,3,0,0,0,17,25,1,1,0,1,0,1,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,9,8,1,4,0,2,0,0,0,0,0,1,7,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,22,3,26,0,2,1,0,0,0,0,0,0,0,1,0,20,0,2,0,9,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,24,3,0,0,15,0,4,0,1,0,6,6,24,39,0,0,3,4,1,1,3,24,1,22,0,2,0,8,0,14,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
1,0,0,0,3,0,0,1,1,4,2,0,0,2,0,0,2,0,0,3,3,5,18,2,3,0,0,0,9,0,1,0,0,2,0,0,0,1,0,1,9,5,0,2,1,6,2,2,1,5,3,4,16,3,1,1,0,3,0,2,0,1,0,0,5,2,2,2,0,1,1,0,0,2,1,1,12,2,0,3,2,3,1,3,2,3,1,2,15,9,2,6,5,7,24,8,8,0,1,0,14,3,3,2,0,4,1,0,0,0,5,2,3,2,2,6,6,16,1,5,1,5,8,18,14,7,2,0,18,27,4,1,5,0,4,1,4,0,5,4,1,13,0,1,2,0,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,3,8,10,9,1,5,0,0,0,3,0,2,1,5,5,1,0,1,0,1,0,7,2,0,2,2,2,0,0,0,3,2,7,11,2,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
1,18,4,19,23,8,23,1,0,0,2,0,3,5,0,4,7,0,17,5,1,3,4,0,21,5,0,3,2,1,2,2,3,9,5,0,21,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,20,1,5,7,2,6,0,0,0,0,0,0,2,0,2,1,1,5,2,0,0,0,0,9,3,0,1,1,0,1,7,0,8,0,0,19,6,0,1,0,1,5,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,2,0,3,0,0,0,0,0,0,10,2,11,1,0,13,2,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,1,0,1,2,0,0,1,44,1,6,2,2,1,6,0,0,0,0,1,34,0,3,1,3,6,5,0,2,0,0,1,1,0,0,0,0,0,37,1,15,2,1,1
1,5,0,5,12,2,8,0,0,0,0,2,1,2,1,6,35,1,37,5,0,4,7,0,11,0,0,0,2,0,1,3,0,1,4,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,6,5,0,4,0,0,0,2,0,1,1,0,0,2,0,10,4,1,2,9,0,27,0,0,0,1,1,3,15,1,4,7,0,26,10,0,16,5,1,2,0,1,0,0,0,0,5,2,4,2,1,3,13,0,1,1,0,4,0,0,0,0,0,0,34,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,3,0,0,17,1,55,5,0,4,1,0,0,0,0,0,5,0,3,2,1,2,12,0,8,1,0,0,0,0,4,0,0,0,27,0,6,2,4,1
1,8,0,5,16,3,11,0,0,1,1,0,0,0,0,6,3,2,11,10,0,4,7,4,16,1,0,1,5,3,2,1,0,9,3,0,11,0,0,0,1,0,0,1,0,2,0,0,0,0,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,1,4,8,2,5,0,2,3,0,0,2,6,3,21,6,3,22,2,0,2,2,2,6,2,0,0,2,1,1,6,2,13,4,2,15,7,1,1,10,3,4,0,0,0,0,0,0,3,2,3,0,0,3,7,0,2,3,3,0,3,1,2,2,4,0,11,0,11,1,1,5,2,0,5,2,0,1,0,0,0,1,0,1,0,0,3,0,0,0,3,0,1,2,2,5,3,1,0,3,3,2,0,1,3,0,0,1,15,0,7,4,4,3,0,1,3,0,0,0,22,2,20,4,1,5,3,0,1,1,1,2,1,0,0,1,1,0,15,1,16,0,0,2
1,15,6,26,11,11,17,0,1,1,3,0,2,4,0,2,22,1,17,0,0,0,0,0,18,0,2,4,9,0,8,0,5,3,1,0,14,12,1,5,1,2,1,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,0,0,2,11,0,9,6,3,5,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,22,0,1,0,2,0,1,0,2,2,1,0,18,1,0,1,0,1,0,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,21,9,9,0,1,12,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,1,3,0,1,1,1,0,8,0,0,0,0,0,1,0,2,0,0,0,8,47,0,3,0,6,0,18,0,3,0,0,1,23,0,2,0,1,1,3,0,1,0,1,1,2,0,0,0,0,0,35,3,11,4,1,4
1,2,1,8,11,2,12,1,0,2,2,0,3,3,0,5,17,2,15,5,0,6,4,0,17,1,0,2,1,0,3,7,1,7,4,1,15,0,1,1,1,0,1,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,5,3,5,6,1,9,0,0,0,0,0,0,2,0,3,4,2,5,7,3,0,8,1,15,4,0,1,2,0,2,2,2,5,7,1,12,7,1,4,5,1,9,1,1,1,0,0,1,4,0,2,6,1,2,3,0,4,1,0,6,0,0,0,0,0,1,16,1,6,5,1,16,1,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,20,2,23,8,3,1,2,1,1,0,0,0,17,0,5,5,4,4,12,1,3,1,0,3,1,0,0,1,0,1,30,0,15,2,0,10
0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,3,0,16,1,0,0,12,0,6,0,8,0,35,0,3,2,0,0,1,3,0,2,13,33,0,3,0,0,0,0,0,2,0,0,1,16,0,0,0,0,0,0,0,0,0,2,7,7,0,1,0,0,0,0,0,1,1,1,15,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,2,34,10,12,0,0,5,0,0,0,0,0,0,0,0,0,35,0,9,0,11,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,3,9,0,0,1,1,0,0,1,0,2,0,38,4,0,0,8,0,4,0,1,0,12,1,15,41,0,0,2,2,0,1,0,13,0,13,0,0,0,5,0,17,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,8,1,1,18,5,13,0,0,0,1,0,1,7,0,3,12,0,13,0,1,3,10,0,26,0,0,0,4,0,3,1,0,0,6,0,19,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,0,19,22,2,12,0,0,0,0,0,1,13,1,12,13,1,12,0,2,1,3,0,21,0,1,0,0,0,0,0,0,3,3,0,19,6,0,1,0,0,0,2,0,1,0,0,0,14,0,7,2,0,0,6,0,8,0,0,1,0,0,0,0,0,0,15,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,17,1,14,0,0,1,0,0,0,0,0,1,33,0,30,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,17,0,26,0,0,2
1,5,1,12,8,2,7,0,0,3,1,0,6,2,1,6,5,0,20,2,1,10,7,2,4,4,4,4,5,2,0,7,0,6,4,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,4,2,1,2,0,0,1,0,0,0,1,0,0,8,0,5,1,1,4,2,0,7,2,3,4,0,2,1,0,1,6,1,4,4,2,0,13,2,2,7,1,1,2,0,0,1,0,0,2,17,1,8,12,1,21,4,5,3,6,4,4,0,1,1,2,0,3,3,2,8,2,2,10,3,2,2,1,0,2,2,0,0,2,2,2,3,0,3,0,1,2,1,3,1,1,1,1,0,0,1,2,0,2,1,0,1,1,0,4,4,1,1,1,2,1,0,1,0,2,1,1,0,0,0,1,0,4,23,1,11,9,9,7,0,0,1,0,0,0,11,3,4,3,1,9,13,0,5,0,3,0,2,0,2,0,0,0,24,0,9,3,1,3
1,7,1,5,6,0,27,0,0,1,4,2,2,3,2,8,5,1,14,6,1,4,3,2,4,0,0,4,1,1,4,17,1,5,11,6,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,4,0,1,1,2,0,0,0,2,0,0,0,5,1,3,0,0,0,0,2,0,4,0,8,1,0,0,2,0,6,2,5,6,4,0,25,7,2,3,4,2,2,0,0,1,0,0,1,27,1,14,9,3,2,17,3,5,4,4,4,1,0,0,2,0,0,2,0,5,3,0,10,5,0,1,2,2,1,4,0,0,4,2,0,4,0,2,2,0,1,1,1,1,0,0,5,0,0,0,0,0,0,0,0,5,1,0,5,2,0,3,1,0,2,2,0,1,2,1,1,3,1,1,1,0,0,20,2,22,6,6,1,0,0,3,0,0,1,7,2,17,5,1,1,14,0,7,0,2,0,2,0,3,1,3,0,1,0,8,0,0,0
1,0,0,4,1,0,0,0,0,0,0,0,0,4,0,15,12,0,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,1,0,0,0,0,0,12,60,0,24,1,1,1,65,0,8,0,0,0,0,0,0,0,0,1,27,0,9,3,0,24,1,0,0,0,0,4,1,0,0,1,0,43,0,0,3,22,3,39,26,7,10,4,0,6,0,0,0,5,1,15,2,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,3,1,16,2,0,1,5,1,5,11,3,8,1,0,1,0,0,0,2,0,7,2,1,6
1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,1,1,1,6,0,12,1,8,2,23,0,2,4,0,0,0,0,0,0,4,36,0,7,1,2,2,2,2,12,0,2,3,22,0,0,0,0,1,2,0,1,0,3,1,6,1,0,1,9,0,0,0,0,1,0,17,5,4,0,1,1,0,1,2,0,1,0,2,1,0,0,1,2,1,2,3,3,7,0,17,18,13,0,2,1,0,0,0,1,0,0,0,0,0,18,0,17,0,2,0,2,0,1,0,3,0,1,2,0,0,0,0,0,2,0,1,1,2,2,2,6,0,1,0,0,1,0,1,0,2,3,13,13,1,2,6,0,3,0,0,0,2,0,21,3,0,1,2,0,17,1,0,1,10,2,15,31,0,0,0,0,0,0,0,4,0,12,1,4,0,5,0,13,1,1,4,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,1,24,3,11,0,1,0,0,0,1,5,0,0,8,0,12,3,3,3,14,2,22,1,0,0,10,0,1,6,2,10,3,0,14,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,0,10,14,3,14,0,0,0,0,0,0,5,0,6,9,1,10,2,1,3,5,0,9,1,0,1,0,0,0,0,0,6,2,1,16,8,0,1,4,2,2,3,0,1,0,0,1,6,0,2,1,0,1,7,1,3,3,1,11,0,0,0,2,0,1,25,2,21,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,0,5,0,0,0,0,0,0,0,1,0,1,0,1,18,2,12,5,4,6,0,0,4,0,0,1,35,0,19,1,1,2,3,0,0,0,0,5,0,0,0,0,0,1,16,0,19,2,0,6
1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,22,0,14,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,2,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,1,0,0,42,0,4,6,0,4,61,13,2,0,0,0,0,0,0,2,0,0,47,5,0,0,3,33,0,0,1,0,1,1,0,0,0,1,12,43,10,0,29,8,0,66,4,2,0,3,0,16,0,0,1,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,3,8,0,6,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,0,1,16,2,18,7,3,0,1,0,2,1,1,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,27,1,28,0,0,0,2,0,2,3,1,2,8,0,19,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,27,0,26,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,12,1,18,1,0,0,4,1,2,3,0,2,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,7,0,0,2,0,1,3,1,2,8,0,33,1,0,0,2,0,0,17,4,38,3,0,32,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,2,1,0,2,1,0,0,28,2,4,3,0,0,0,0,3,47,0,2,27,8,4,0,0,3,0,0,10,0,0,0,0,0,0,12,1,40,1,0,13
